test_idx,best_mean,best_min,best_max,n_changed,n_pool_rows,candidate_id
819,6.854456067694596,6.2985613436720636,7.198090024443987,2,8,0.0
820,2.1401630936897913,1.6019163763066204,2.6019163763066206,1,1369,0.0
822,17.207813084403963,16.74786859501265,17.5751585815543,2,39,0.0
826,0.16508977946758996,0.013911683758950515,0.6058566600429829,2,667,0.0
828,6.854456067694596,6.2985613436720636,7.198090024443987,2,8,0.0
830,2.2298843480451924,1.6916376306620216,2.6916376306620213,1,1369,0.0
831,0.20213312659070928,0.0656567078041382,0.5887454369459783,2,401,0.0
832,0.3292756448817678,0.03555121564227564,0.820274951909413,1,1786,0.0
833,2.1265011561942724,1.548429218421862,2.517378542356944,2,667,0.0
835,2.124167067420264,1.941809283744978,2.6509082751947006,2,61,0.0
837,0.8897688356164384,0.40625000000000006,1.4062500000000002,1,146,0.0
843,1.7620642759646963,1.175982842343799,2.175982842343799,1,1229,0.0
845,0.29567906149096246,0.18390108823771664,1.0194371878699544,2,265,0.0
847,0.19158872830987925,0.023655271528908648,0.5599632189140994,2,401,0.0
850,2.173264138985959,1.6350174216027877,2.635017421602788,1,1369,0.0
856,2.114030689508607,1.5757839721254359,2.575783972125436,1,1369,0.0
857,0.37943282694054836,0.22679487949824131,0.7027624855668019,2,978,0.0
867,1.1178341043881346,0.5317526707672373,1.5317526707672373,1,1229,0.0
869,1.4367851982134814,0.9030680128273479,1.8025339557173374,2,908,0.0
871,5.815552669876744,5.5753975885114295,6.106999161552262,2,116,0.0
873,1.7483745279624472,1.16229309434155,2.1622930943415497,1,1229,0.0
874,5.591991425337473,5.211594217292275,5.8416607227739625,2,15,0.0
875,0.6102693602693601,0.0833333333333333,0.9166666666666666,1,99,0.0
876,1.765822450131093,1.1797410165101956,2.179741016510196,1,1229,0.0
877,7.047212213976216,6.557425833500058,7.33977642280729,2,132,0.0
881,1.3668251678124816,0.9649375330220833,1.648246676914111,2,104,0.0
884,3.039077212806026,2.4444444444444446,3.444444444444444,1,118,0.0
885,3.472689886107342,3.0520334995541627,3.8213920307253604,2,372,0.0
897,7.043220363041517,6.553367067230546,7.336023028863395,2,132,0.0
898,2.20555363398724,1.9121862485086167,2.4713510688496805,2,47,0.0
907,0.8897688356164384,0.40625000000000006,1.4062500000000002,1,146,0.0
909,1.7057438794726927,1.1111111111111112,2.111111111111111,1,118,0.0
911,5.353930425627524,4.817610922438633,5.818075283115546,2,8,0.0
912,1.3724105461393603,0.7777777777777779,1.7777777777777775,1,118,0.0
913,1.4691965839829466,0.9446654598044743,1.8287591611174934,2,660,0.0
919,2.4835216572504706,1.888888888888889,2.8888888888888893,1,118,0.0
920,0.9677474645375346,0.6712762769005363,1.3126799502343771,2,21,0.0
922,2.1410341738291647,1.6027874564459934,2.6027874564459936,1,1369,0.0
924,1.8014040995589038,1.4830637541875435,2.102850273141364,2,60,0.0
927,6.680201931518876,6.0588235294117645,7.058823529411764,1,134,0.0
928,0.3025390027531355,0.12244897959183673,1.1224489795918369,1,467,0.0
930,1.5422795559905946,0.9561981223696976,1.9561981223696976,1,1229,0.0
932,7.111784923731003,6.525861754855463,7.439065703022823,2,83,0.0
935,1.0946327683615817,0.5000000000000001,1.5,1,118,0.0
936,2.133194452574809,1.594947735191638,2.594947735191638,1,1369,0.0
940,3.039077212806026,2.4444444444444446,3.444444444444444,1,118,0.0
947,3.4816972758162774,3.0597983462547838,3.8301477340358123,2,372,0.0
949,8.768437225636523,8.147058823529411,9.147058823529411,1,134,0.0
962,7.175641643964736,6.649449227185644,7.515996382383119,2,87,0.0
966,6.123842555264672,5.8973190529697845,6.6096022612728005,2,99,0.0
972,0.8357413507169748,0.3497724098084225,1.140858844058391,2,42,0.0
973,1.4980035818027129,0.9774579058604124,1.8548752262261627,2,660,0.0
989,2.098351246999896,1.5601045296167253,2.560104529616725,1,1369,0.0
993,0.5421098161725493,0.3402554012833803,0.863209045190027,2,978,0.0
997,0.4113825401681016,0.23129251700680276,1.2312925170068028,1,467,0.0
1003,1.8825974731470416,1.4790199457749045,2.4122085316157897,2,7,0.0
1011,0.18940918236692883,0.0,0.7272727272727272,1,994,0.0
1012,7.2096136962247614,6.5882352941176485,7.588235294117648,1,134,0.0
1013,3.4793208699056546,3.057546878456117,3.8277969414167634,2,372,0.0
1023,1.587027205188049,1.0487804878048783,2.0487804878048785,1,1369,0.0
1024,7.05290567606164,6.563229305786177,7.345135255090905,2,132,0.0
1027,2.2612994350282483,1.666666666666667,2.6666666666666665,1,118,0.0
1028,3.080601201516037,2.7857241872940257,3.3479651966774164,2,47,0.0
1034,5.877751678039038,5.63756585085538,6.169469325682045,2,116,0.0
1045,5.257729473155107,4.729148311271281,5.74367859041573,2,8,0.0
1050,8.739025460930641,8.117647058823529,9.117647058823529,1,134,0.0
1075,1.3913729650546798,0.9776677063156092,1.6826608085549513,2,104,0.0
1078,1.3724105461393603,0.7777777777777779,1.7777777777777775,1,118,0.0
1081,6.62137840210711,6.0,6.999999999999999,1,134,0.0
1083,0.6919191919191918,0.0,1.0,1,99,0.0
1087,7.297848990342406,6.676470588235295,7.676470588235295,1,134,0.0
1088,21.325498346772765,20.872610536546617,21.713788544783704,2,39,0.0
1089,2.539077212806026,1.9444444444444449,2.9444444444444446,1,118,0.0
1091,39.990801085315425,39.746324901017644,40.50661710648971,2,8,0.0
1092,2.480652111908194,2.072687704315456,2.773147682581768,2,104,0.0
1094,17.586623686547075,17.126756762033835,17.95405220697086,2,39,0.0
1101,0.847411590686105,0.39481939281293726,1.351469788132644,2,8,0.0
1109,3.486033414887429,3.075157525063192,3.836211728387347,2,372,0.0
1113,3.2949805845620808,2.7630372780691905,3.7864891390310373,2,8,0.0
1116,1.5390772128060264,0.9444444444444445,1.9444444444444449,1,118,0.0
1118,1.3370272051880494,0.7987804878048784,1.7987804878048785,1,1369,0.0
1121,8.680201931518875,8.058823529411764,9.058823529411764,1,134,0.0
1122,8.856672519754172,8.23529411764706,9.23529411764706,1,134,0.0
1127,1.3518355675573877,0.8135888501742164,1.8135888501742166,1,1369,0.0
1132,1.9955637905539034,1.4573170731707323,2.457317073170732,1,1369,0.0
1136,2.50756095796252,1.9607843137254903,2.9607843137254903,1,542,0.0
1137,2.163424583119571,1.5852588267375085,2.555697224431242,2,667,0.0
1139,3.805447824465721,3.25384388070479,4.22899219672962,2,8,0.0
1141,6.973051275773264,6.483185381721214,7.265879107677027,2,132,0.0
1144,1.1502525252525249,0.45833333333333326,1.458333333333333,1,99,0.0
1146,0.7380952380952381,0.5000000000000001,1.5000000000000002,1,63,0.0
1147,22.14334719528461,21.687573979402316,22.522693201416043,2,39,0.0
1151,2.1192571703448437,1.5810104529616726,2.581010452961673,1,1369,0.0
1159,1.1696989043698487,0.9109650168354176,1.8601245306260692,2,7,0.0
1201,0.18940918236692883,0.0,0.7272727272727272,1,994,0.0
1202,1.7175595818889438,1.1314781482680463,2.1314781482680463,1,1229,0.0
1204,1.5390772128060264,0.9444444444444445,1.9444444444444449,1,118,0.0
1208,0.6952807365581574,0.1577525287019076,0.9539470501838063,2,96,0.0
1213,1.9523408721977,1.4542210719156994,2.37413488807033,2,1342,0.0
1214,9.268437225636523,8.647058823529411,9.647058823529413,1,134,0.0
1215,6.276109453774677,5.7227615711298,6.65558975598707,2,8,0.0
1216,0.34335532928374773,0.163265306122449,1.163265306122449,1,467,0.0
1225,1.3719436604933188,0.9598192010926665,1.6603645186705918,2,104,0.0
1227,8.768437225636523,8.147058823529411,9.147058823529411,1,134,0.0
1237,0.36979440330918334,0.24728291062692653,1.0625928139461573,2,265,0.0
1239,2.201272357097339,1.6341067380178063,2.721472240479051,2,7,0.0
1246,1.4134899815477069,1.0020498937899527,1.7053989064940382,2,104,0.0
